name,address,zip_code,city,phone,website,denomination
The Church of Jesus Christ of Latter-day Saints,West 1150 North,84604,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,West 1020 North,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,700 East,84042,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,East River Bottom Road,84664,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,400 North,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,South 1700 East Street,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,1700 South,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,South 1400 East Street,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,2580 East,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,200 South,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,East 180 South Street,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,400 North,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,East 300 South,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,South 1400 East,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,East 1850 South Street,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,East 1850 South Street,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,East 1240 South Street,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,East 1240 South Street,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,505 900 North,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,East Canyon Road,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,Birch Drive,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,East 750 South Street,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,East 750 South Street,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,Slate Canyon Drive,84606,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,State Street,84606,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,1300 West,84062,Pleasant Grove,,,lds
Pleasant Grove 5th Ward,500 South,84062,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,Sam White Lane,84062,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,West 100 South,84042,Lindon,,,lds
Pleasant Grove High School Seminary,770 200 South,84062,Pleasant Grove,,,lds
Fellowship Bible Church,West Lakeview Road,84042,Lindon,,,
The Church of Jesus Christ of Latter-day Saints,1200 North,84097,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,1600 North,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,North 130 East,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,900 North,84003,American Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,Center Street,84013,Cedar Fort,,,lds
The Church of Jesus Christ of Latter-day Saints,7746 North Sparrow Hawk Way,84005,Eagle Mountain,,,lds
The Church of Jesus Christ of Latter-day Saints,1330 East Ira Hodges Scenic Parkway,84005,Eagle Mountain,,,lds
The Church of Jesus Christ of Latter-day Saints,1934 East Cedar Trails Way,84005,Eagle Mountain,,,lds
The Church of Jesus Christ of Latter-day Saints,Cherry Lane,84602,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,North Locust Lane,84606,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,300 South,84606,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,South 570 West,84605,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,2977 East Saddle Rock Road,84005,Eagle Mountain,,,lds
LDS Seminary,South 700 East Street,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,4561 North Buckboard Street,84005,Eagle Mountain,,,lds
The Church of Jesus Christ of Latter-day Saints,1953 East Lone Tree Parkway,84005,Eagle Mountain,,,lds
"The Church of Jesus Christ of Latter-Day Saints, Edgemont South Stake Center",East 2950 North,84602,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,East 800 South,84606,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,East 900 South,84606,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,South Utah Avenue,84606,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,700 North,84606,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,West Center Street,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,Center Street,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,South 500 East Street,84664,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,400 East,84664,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,East 400 South Street,84664,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,100 North,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,North 400 East Street,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,860 200 North,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,East 570 North Street,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,East 245 South Street,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,South Averett Avenue,84664,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,1700 East,84664,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,2557 Dalton Drive,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,Canyon Drive,84664,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,1100 South,84664,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,1627 West Cadbury Lane,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,200 North,84603,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,1157 West 900 South,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,North 250 West,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,North Mill Pond Drive,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,East 700 North,84603,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,4588 North Eagle Mountain Boulevard,84005,Eagle Mountain,,,lds
The Church of Jesus Christ of Latter-day Saints,North 1480 East,84606,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,350 900 East,84606,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,Canyon Cove Drive,84641,Payson,,,lds
The Church of Jesus Christ of Latter-day Saints,Regal View Drive,84045,Saratoga Springs,,,lds
The Church of Jesus Christ of Latter-day Saints,4506 West Pony Express Parkway,84005,Eagle Mountain,,,lds
LDS Institute of Religion,Campus Drive,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints - Seminary,East Quail Valley Drive,84602,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,North Canyon Road,84602,Provo,,,lds
Edgemont North Stake Center,345 East Foothill Drive,84604,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,Timpview Drive,84602,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,Main Street,84664,Mapleton,,,lds
The Church of Jesus Christ of Latter-day Saints,West Foxtrail Drive,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,West Chapel Ridge Road,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,3065 North 1300 West,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,North Pheasant Point Drive,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,2790 North Center Street,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,West 11200 North,84004,Highland,,,lds
The Church of Jesus Christ of Latter-day Saints,North Alpine Highway,84004,Highland,,,lds
The Church of Jesus Christ of Latter-day Saints,Timpanogos Highway,84003,Highland,,,lds
The Church of Jesus Christ of Latter-day Saints,North Avonmore Drive,84004,Highland,,,lds
The Church of Jesus Christ of Latter-day Saints,West Canyon Crest Road,84004,Alpine,,,lds
The Church of Jesus Christ of Latter-day Saints,6000 West,84003,Highland,,,lds
The Church of Jesus Christ of Latter-day Saints,Cherry Lane,84602,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints - Manevu Chapel,600 North,84603,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,1120 North 850 West,84604,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,1915 North Canyon Road,84604,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,North 1500 East,84602,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,East Stadium Avenue,84602,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,North 1060 East,84602,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,Temple Drive,84602,Provo,,,lds
Harvest Bible Fellowship,West 500 North,84601,Provo,,,
Saint Marys Episcopal Church,200 North,84603,Provo,,,anglican
Seventh Day Adventist Church,700 East,84606,Provo,,,seventh_day_adventist
The Church of Jesus Christ of Latter-day Saints,West 1560 South,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,West 100 South,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,155 West 1600 South,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,West 1200 South,84605,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,South 140 West,84508,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,2876 West 1390 North,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,800 North,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,North 2400 West,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,Crestline Drive,84605,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,West 400 North,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,610 West 300 South,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,South 400 East,84508,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,2225 West 620 North,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,125 East 2000 South,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,North 1220 West,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,West 200 South,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,West 620 North,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,1066 West 200 North,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,East 50 South,84606,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,835 South 500 West,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,101 West 800 North,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,North 1830 West,84604,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,North 1350 West,84604,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,West 1800 South,84508,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,Shady Acres Circle,84605,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,940 100 North,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,South 200 East,84508,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,195 West 300 South,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,140 North 400 West,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,400 West 600 South,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,600 West,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,3785 Box Elder Drive,84062,Cedar Hills,,,lds
The Church of Jesus Christ of Latter-day Saints,1068 1600 West,84664,Mapleton,,,lds
The Church of Jesus Christ of Latter-day Saints,Summit Ridge Parkway,84655,Santaquin,,,lds
The Church of Jesus Christ of Latter-day Saints,12800 West,84626,Elberta,,,lds
Provo United Pentecostal Church,West 1560 South,84601,Provo,,,
The Church of Jesus Christ of Latter-day Saints,Birdseye Road,,Birdseye,,,lds
The Church of Jesus Christ of Latter-day Saints,North 400 East Street,84664,Mapleton,,,lds
First Baptist Chapel,South Main Street,84651,Payson,,,baptist
The Church of Jesus Christ of Latter-day Saints,3200 West,,Lake Shore,,,lds
The Church of Jesus Christ of Latter-day Saints,South 1850 West,,Palmyra,,,lds
The Church of Jesus Christ of Latter-day Saints,South Main Street,84653,Salem,,,lds
The Church of Jesus Christ of Latter-day Saints,West Chapel Drive,84653,Salem,,,lds
The Church of Jesus Christ of Latter-day Saints,Center Street,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,400 North,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,South Spring Lake Road,84641,Spring Lake,,,lds
Faith Independent Baptist Church,Center Street,84003,American Fork,,,baptist
The Church of Jesus Christ of Latter-day Saints,East 200 North,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,860 East,84062,American Fork,,,lds
Highland Central Stake Center,West 10400 North,84003,Highland,,,lds
The Church of Jesus Christ of Latter-day Saints,East 1660 South Street,84660,Spanish Fork,,,lds
MMHS Seminary,South Spanish Fork Parkway,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,200 East,84655,Santaquin,,,lds
The Church of Jesus Christ of Latter-day Saints,789 800 South,84058,Orem,,,lds
Grace Baptist Church,South 1200 West,84059,Orem,,,baptist
The Church of Jesus Christ of Latter-day Saints,West Davencourt Loop North,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,300 West,84097,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,857 West 800 North,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,West 1000 North,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,590 North 900 West,84057,Orem,,,lds
Orem Junior High Seminary,North 600 West,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,West 500 North,84057,Orem,,,lds
Hope Baptist Church,Main Street,84651,Payson,,,
The Church of Jesus Christ of Latter-day Saints,1750 South,84641,Payson,,,lds
The Church of Jesus Christ of Latter-day Saints,10400 South,84651,Payson,,,lds
The Church of Jesus Christ of Latter-day Saints,800 South,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,800 South,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,East 700 North,84097,Orem,,,lds
Saint Francis of Assisi,65 500 North,84057,Orem,,,catholic
The Church of Jesus Christ of Latter-day Saints,East 600 North,84097,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,South 450 West,84058,Orem,,,lds
Seminary,725 West Center Street,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,West 130 North,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,East 600 North,84097,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,810 East 600 North,84097,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,900 East,84003,American Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,800 West,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,East 200 North,84097,Orem,,,lds
Salem Hills High Seminary,SR-198,84653,Salem,,,lds
The Church of Jesus Christ of Latter-day Saints,East Center Street,84097,Orem,,,lds
Orem Community Church,400 East,84097,Orem,,,
CenterPoint Church,1550 Sandhill Road,84058,Orem,,,
The Church of Jesus Christ of Latter-day Saints,255 East 200 North,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,300 North 100 East,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,North Mojave Lane,84602,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,Timpview Drive,84602,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,105 1800 North,84062,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,1000 Eagle Way,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,East Salem Canal Road,84653,Salem,,,lds
The Church of Jesus Christ of Latter-day Saints,West 120 North,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,East Heather Road,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,450 East 2000 North,84097,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,East 2000 North,84057,Lindon,,,lds
The Church of Jesus Christ of Latter-day Saints,East 1750 North,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,1000 North Main Street,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,1350 West,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,612 West Pony Express Parkway,84045,Saratoga Springs,,,lds
The Church of Jesus Christ of Latter-day Saints,2101 North Providence Drive,84045,Saratoga Springs,,,lds
The Church of Jesus Christ of Latter-day Saints,1674 North 200 West,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,West 1890 North,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,100 North,84042,Lindon,,,lds
The Church of Jesus Christ of Latter-day Saints,Main Street,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,North 100 West,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,955 North 300 East,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,575 East 875 North,84097,Orem,,,lds
The Church of Jesus Christ of Latter Day Saints Seminary Building,North Main Street,84653,Salem,,,lds
Calvary City on A Hill,105 East 100 North,84601,Provo,,,nondenominational
The Church of Jesus Christ of Latter-day Saints,422 East Holdaway Road,84059,Vineyard,,,lds
The Church of Jesus Christ of Latter-day Saints,400 East 800 South,84097,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,325 Canal Drive,84042,Lindon,,,lds
The Church of Jesus Christ of Latter-day Saints,8285 North Porters Crossing,84005,Eagle Mountain,,,lds
The Church of Jesus Christ of Latter-day Saints,3111 West 1390 North,84601,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,West 3700 North,84602,Provo,,,lds
"The Church of Jesus Christ of Latter-day Saints, Lindon West Stake",250 1600 North,84042,Lindon,,,lds
The Church of Jesus Christ of Latter-day Saints,North Harvest Moon Drive,,Saratoga Springs,,,lds
The Church of Jesus Christ of Latter-day Saints,West 10400 North,84003,Highland,,,lds
The Church of Jesus Christ of Latter-day Saints,825 Loader Drive,84062,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,Murdock Canal Trail,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,North 180 East,84602,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,South 100 West,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,1149 North 300 West,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,Maple Street,84664,Mapleton,,,lds
The Church of Jesus Christ of Latter-day Saints,678 South 950 West,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,East 3200 North,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,650 East 3200 North,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,South 250 West,84653,Salem,,,lds
The Church of Jesus Christ of Latter-day Saints,West Cactus Lane,84045,Saratoga Springs,,,lds
The Church of Jesus Christ of Latter-day Saints,West Harvest Hills Boulevard,,Saratoga Springs,,,lds
The Church of Jesus Christ of Latter-day Saints,North Providence Drive,,Saratoga Springs,,,lds
The Church of Jesus Christ of Latter-day Saints,7944 North Smith Ranch Road,84005,Eagle Mountain,,,lds
The Church of Jesus Christ of Latter-day Saints,250 South 580 East,84655,Santaquin,,,lds
The Church of Jesus Christ of Latter-day Saints,East 445 South,84097,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,545 South 800 East,84097,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,735 East 800 South,84097,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,600 South 400 East,84097,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,1810 Springwater Drive,84059,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,600 North,84660,Spanish Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,100 West,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,950 South 50 East,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,East 1100 South,84508,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,East 1000 South,84508,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,496 South River Way,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,West 900 North,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,West 300 North,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,South Pondside Drive,84045,Saratoga Springs,,,lds
The Church of Jesus Christ of Latter-day Saints,Devonshire Drive,84602,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,828 1600 North,84057,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,North 500 East,84602,Provo,,,lds
The Church of Jesus Christ of Latter-day Saints,1020 East 1900 North,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,1174 1700 West,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,East 1500 North,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,7300 South,,Benjamin,,,lds
The Church of Jesus Christ of Latter-day Saints,East 1630 South,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,2150 North Pointe Meadow Drive,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,2195 N 100 East,84062,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,North Chesterfield Drive,84003,Cedar Hills,,,lds
The Church of Jesus Christ of Latter-day Saints,1320 3540 North,84062,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,Cedar Hills Drive,84062,Cedar Hills,,,lds
The Church of Jesus Christ of Latter-day Saints,3396 North 900 West,84062,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,400 North,84062,American Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,637 300 North,84003,American Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,6495 West Chapel Drive,84003,Highland,,,lds
The Church of Jesus Christ of Latter-day Saints,200 South,84042,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,West Center Street,,Genola,,,lds
The Church of Jesus Christ of Latter-day Saints,South Saratoga Road,84045,Saratoga Springs,,,lds
The Church of Jesus Christ of Latter-day Saints,200 South,84042,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,351 North 1200 West,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,825 500 North,84003,American Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,270 900 East,84003,American Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,455 300 North,84003,American Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,320 100 East,84003,American Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,550 300 East,84062,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,Murdock Drive,84042,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,535 East,84062,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,500 North,84062,Pleasant Grove,,,lds
First Baptist Church,344 Center Street,84062,Pleasant Grove,,,baptist
The Church of Jesus Christ of Latter-day Saints,730 East,84062,Pleasant Grove,,,lds
The Church of Jesus Christ of Latter-day Saints,4335 West Cedar Hills Drive,84062,Cedar Hills,,,lds
The Church of Jesus Christ of Latter-day Saints,4580 West Cedar Hills Drive,84062,Cedar Hills,,,lds
The Church of Jesus Christ of Latter-day Saints,Bayhill Drive,84004,Cedar Hills,,,lds
The Church of Jesus Christ of Latter-day Saints,10455 North Ironwood Drive,84062,Cedar Hills,,,lds
The Church of Jesus Christ of Latter-day Saints,North Janie Lane,84004,Highland,,,lds
The Church of Jesus Christ of Latter-day Saints,North Wasatch Drive,84004,Highland,,,lds
The Church of Jesus Christ of Latter-day Saints,East Healey Boulevard,84004,Alpine,,,lds
The Church of Jesus Christ of Latter-day Saints,700 S Separated Bike Lanes,84043,Lehi,,,lds
The Church of Jesus Christ of Latter-day Saints,East Centennial Boulevard,84045,Saratoga Springs,,,lds
Faith Community Church,East Pony Express Parkway,,Eagle Mountain,,,
The Church of Jesus Christ of Latter-day Saints,650 North Nathan Barnes Street,84003,American Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,507 West 700 North,84003,American Fork,,,lds
The Church of Jesus Christ of Latter-day Saints,North 680 West,84003,American Fork,,,lds
